system,budget,retr_recall,mean_ctx_words
graphrag,100,1.0,35.8
graphrag,150,1.0,35.8
graphrag,200,1.0,35.8
graphrag,300,1.0,35.8
graphrag,450,1.0,35.8
graphrag,600,1.0,35.8
graphrag,750,1.0,35.8
graphrag,900,1.0,35.8
graphrag,1100,1.0,35.8
graphrag,1400,1.0,35.8
graphrag,1800,1.0,35.8
graphrag,2400,1.0,35.8
rag_bm25,100,0.5408847562693716,87.80473372781066
rag_bm25,150,0.5817624683009299,124.15384615384616
rag_bm25,200,0.6207664130741054,166.94082840236686
rag_bm25,300,0.7114961961115807,263.698224852071
rag_bm25,450,0.7647741147741147,414.3491124260355
rag_bm25,600,0.7986733352117968,566.4319526627219
rag_bm25,750,0.821076359537898,715.9112426035502
rag_bm25,900,0.8353268526345449,867.8698224852071
rag_bm25,1100,0.8575725556494788,1066.8343195266273
rag_bm25,1400,0.8695054945054944,1363.5739644970415
rag_bm25,1800,0.89264816380201,1765.3491124260354
rag_bm25,2400,0.9342796092796094,2364.130177514793
rag_hybrid,100,0.5634521461444538,82.37278106508876
rag_hybrid,150,0.6171010613318305,125.28994082840237
rag_hybrid,200,0.6628604301681225,173.95857988165682
rag_hybrid,300,0.7326406499483422,271.1775147928994
rag_hybrid,450,0.7690311824927208,424.14201183431953
rag_hybrid,600,0.78998778998779,578.3136094674556
rag_hybrid,750,0.8030055414670798,724.1597633136095
rag_hybrid,900,0.8248990325913403,879.9289940828403
rag_hybrid,1100,0.8346294730910114,1075.9704142011835
rag_hybrid,1400,0.8506058044519582,1374.7100591715975
rag_hybrid,1800,0.8747417112801729,1778.6686390532543
rag_hybrid,2400,0.8890321217244294,2373.3491124260354
rag_dense_minilm,100,0.1385437212360289,92.11834319526628
rag_dense_minilm,150,0.180111768573307,141.11834319526628
rag_dense_minilm,200,0.1933760683760683,190.88757396449705
rag_dense_minilm,300,0.2214332675871137,288.9349112426036
rag_dense_minilm,450,0.2510190664036818,436.8757396449704
rag_dense_minilm,600,0.2667981591058514,587.9112426035502
rag_dense_minilm,750,0.2838663473278858,738.8639053254437
rag_dense_minilm,900,0.2927420869728562,887.3076923076923
rag_dense_minilm,1100,0.305020193481732,1088.0414201183432
rag_dense_minilm,1400,0.3390438621207852,1388.6449704142012
rag_dense_minilm,1800,0.3571475533013994,1787.1065088757396
rag_dense_minilm,2400,0.3898469052315206,2388.1360946745563
rag_dense_biomed,100,0.36876115337653803,86.39644970414201
rag_dense_biomed,150,0.3805954729031652,120.05917159763314
rag_dense_biomed,200,0.4297078989386681,172.50295857988166
rag_dense_biomed,300,0.47671644594721513,272.88757396449705
rag_dense_biomed,450,0.5275617544848314,417.8284023668639
rag_dense_biomed,600,0.5598102751948906,563.9289940828403
rag_dense_biomed,750,0.6175331079177233,715.0473372781065
rag_dense_biomed,900,0.6391471776087161,862.6508875739645
rag_dense_biomed,1100,0.6685850474312012,1066.4260355029585
rag_dense_biomed,1400,0.6805672959519113,1362.189349112426
rag_dense_biomed,1800,0.7231379731379732,1758.1065088757396
rag_dense_biomed,2400,0.7636446886446885,2360.4674556213017
rag_dense_biomed_raw,100,0.016765285996055226,70.53846153846153
rag_dense_biomed_raw,150,0.04161735700197239,121.23076923076923
rag_dense_biomed_raw,200,0.042800788954635106,173.15384615384616
rag_dense_biomed_raw,300,0.07731755424063116,278.07100591715977
rag_dense_biomed_raw,450,0.09211045364891518,434.7396449704142
rag_dense_biomed_raw,600,0.11479289940828402,573.0177514792899
rag_dense_biomed_raw,750,0.13471400394477318,722.5680473372781
rag_dense_biomed_raw,900,0.14358974358974358,880.5502958579882
rag_dense_biomed_raw,1100,0.1495069033530572,1073.6094674556214
rag_dense_biomed_raw,1400,0.17061143984220906,1375.4852071005917
rag_dense_biomed_raw,1800,0.2076923076923077,1774.1183431952663
rag_dense_biomed_raw,2400,0.24418145956607495,2376.372781065089
