source_gene_entrez_id,target_drug_concept_id,interaction_type,interaction_score,source_db
1565,ncit:C152139,unknown,0.017709164,DTC
5468,chembl:CHEMBL1833984,unknown,0.84012274,DTC
5594,iuphar.ligand:13097,unknown,0.050007306,DTC
3791,rxcui:1940643,unknown,0.026412309,TTD
142,drugbank:DB14882,unknown,2.100306849,TTD
3815,rxcui:282388,unknown,1.029066006546944,DoCM
3725,chembl:CHEMBL119405,unknown,0.5707355569097228,DTC
2261,rxcui:1592736,unknown,0.1547594520630995,TdgClinicalTrial
2099,rxcui:10324,inhibitor,0.056622219,ClearityFoundationClinicalTrial
1565,rxcui:10390,unknown,0.017709164,FDA
3091,rxcui:7533,unknown,0.090530468,TdgClinicalTrial
2260,ncit:C80060,unknown,0.1090501998664475,JAX-CKB
9734,ncit:C68920,inhibitor,0.2692701089009974,TALC
776,rxcui:104416,inhibitor,0.2442217266776488,GuideToPharmacology
4088,chembl:CHEMBL601367,unknown,0.07643038,DTC
1436,ncit:C64540,unknown,0.00809055,DTC
6198,ncit:C98053,unknown,0.019440086,DTC
7468,chembl:CHEMBL1504679,unknown,0.2524407270946851,DTC
29126,ncit:C78852,immunotherapy,0.6177373086552294,MyCancerGenome
29126,ncit:C78852,antibody,0.6177373086552294,MyCancerGenome
2064,drugbank:DB12318,unknown,0.3454452054979901,TTD
3815,iuphar.ligand:7885,inhibitor,0.040814358,ChEMBL
5893,chembl:CHEMBL1415258,unknown,0.1491695205559502,DTC
5605,rxcui:2289380,inhibitor,0.1808115400678185,ChEMBL
5604,drugbank:DB12429,inhibitor,0.1736364789540161,ChEMBL
695,rxcui:1442981,unknown,0.4055851016423223,TTD
3480,chembl:CHEMBL459729,unknown,0.4953553890159858,TTD
4193,ncit:C141432,unknown,1.312691780892362,TTD
2099,rxcui:1601374,unknown,0.020029629,CGI
7015,rxcui:1045452,unknown,0.4800701370120639,CGI
1956,chembl:CHEMBL514499,unknown,0.007123548,DTC
238,rxcui:1535457,unknown,2.080014029626545,CGI
238,drugbank:DB13104,inhibitor,1.826353782111112,MyCancerGenome
2261,rxcui:1592736,inhibitor,0.1547594520630995,MyCancerGenome
3265,rxcui:141704,unknown,0.059219178,JAX-CKB
2064,rxcui:1940643,unknown,0.6168664383892681,CGI
6311,ncit:C2026,unknown,0.009662803,DTC
2099,rxcui:282357,unknown,0.2044691247495891,TdgClinicalTrial
7398,ncit:C81118,unknown,0.036413087,DTC
23385,ncit:C26666,modulator,0.3977853881492006,ChEMBL
3569,rxcui:253182,unknown,0.040437175,NCI
5336,rxcui:1442981,unknown,4.773424657790409,CGI
27,iuphar.ligand:499,inhibitor,0.1442518440541057,GuideToPharmacology
2625,rxcui:3041,unknown,0.06823609,PharmGKB
2534,chembl:CHEMBL482967,unknown,0.015036561,DTC
7531,rxcui:253182,unknown,1.981421556063943,NCI
7852,rxcui:2555,unknown,0.014484875,CIViC
673,rxcui:2289380,unknown,0.2332563532602643,JAX-CKB
