path,extension,category,runtime_status,entrypoint,imported_by_count,imports_count,writes_data,reads_data,generated,legacy_status,confidence,notes
.env.example,.example,USAGE_UNCERTAIN,USAGE_UNCERTAIN,false,0,0,false,false,false,USAGE_UNCERTAIN,LOW,content scan skipped for protected/external asset
.gitignore,<no-ext>,USAGE_UNCERTAIN,USAGE_UNCERTAIN,false,0,0,false,false,false,USAGE_UNCERTAIN,LOW,
BIOMARKER_MATCHING_FIX_READINESS.md,.md,GENERATED_OR_OUTPUT,GENERATED_OUTPUT,false,0,0,false,false,true,USAGE_UNCERTAIN,MEDIUM,
CANDIDATE_COVERAGE_CORRECTION_READINESS.md,.md,GENERATED_OR_OUTPUT,GENERATED_OUTPUT,false,0,0,false,false,true,USAGE_UNCERTAIN,MEDIUM,
README.md,.md,GENERATED_OR_OUTPUT,GENERATED_OUTPUT,false,0,0,false,true,true,USAGE_UNCERTAIN,MEDIUM,
V2_V3A_EVALUATION_READINESS.md,.md,GENERATED_OR_OUTPUT,GENERATED_OUTPUT,false,0,0,false,false,true,USAGE_UNCERTAIN,MEDIUM,
V3A_EXPLORATORY_EVALUATION_READINESS.md,.md,GENERATED_OR_OUTPUT,GENERATED_OUTPUT,false,0,0,false,false,true,USAGE_UNCERTAIN,MEDIUM,
VERIFIED_DISEASE_ALIAS_FIX_READINESS.md,.md,GENERATED_OR_OUTPUT,GENERATED_OUTPUT,false,0,0,false,false,true,USAGE_UNCERTAIN,MEDIUM,
backend/__init__.py,.py,USAGE_UNCERTAIN,USAGE_UNCERTAIN,false,0,0,false,false,false,USAGE_UNCERTAIN,MEDIUM,
backend/api/__init__.py,.py,BACKEND_API,USAGE_UNCERTAIN,false,0,0,false,false,false,NOT_LEGACY,MEDIUM,
backend/api/main.py,.py,BACKEND_API,V3_RUNTIME,true,0,5,false,false,false,NOT_LEGACY,MEDIUM,
backend/api/routes.py,.py,BACKEND_API,V3_RUNTIME,false,0,22,false,false,false,NOT_LEGACY,HIGH,V3 route plus legacy routes; V3 selects qualified_claim_v3 explicitly
backend/api/schemas.py,.py,BACKEND_API,USAGE_UNCERTAIN,false,0,3,false,false,false,NOT_LEGACY,MEDIUM,
backend/api/subgraph.py,.py,BACKEND_API,USAGE_UNCERTAIN,false,0,2,false,false,false,NOT_LEGACY,MEDIUM,
backend/api/v3_presentation.py,.py,BACKEND_API,V3_RUNTIME,false,0,6,false,true,false,NOT_LEGACY,HIGH,
backend/api/v3_schemas.py,.py,BACKEND_API,V3_RUNTIME,false,0,3,false,false,false,NOT_LEGACY,HIGH,
backend/benchmark/benchmark_papers_summary_30_v2.csv,.csv,GENERATED_OR_OUTPUT,GENERATED_OUTPUT,false,0,0,false,false,true,USAGE_UNCERTAIN,MEDIUM,
backend/comparison/__init__.py,.py,V2_AGENTIC,PRODUCT_LEGACY,false,0,0,false,false,false,LEGACY_BUT_REQUIRED,MEDIUM,
backend/comparison/live_runs.py,.py,V2_AGENTIC,PRODUCT_LEGACY,false,0,19,false,false,false,LEGACY_BUT_REQUIRED,MEDIUM,
backend/comparison/service.py,.py,V2_AGENTIC,PRODUCT_LEGACY,false,0,8,false,false,false,LEGACY_BUT_REQUIRED,MEDIUM,
backend/config/requirements.txt,.txt,GENERATED_OR_OUTPUT,GENERATED_OUTPUT,false,0,0,false,false,true,USAGE_UNCERTAIN,LOW,
backend/evaluation/__init__.py,.py,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,false,0,0,false,false,false,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/ablation_enricher.py,.py,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,false,0,9,false,false,false,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/ablation_rag.py,.py,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,false,0,8,false,false,false,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/ablation_websearch.py,.py,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,false,0,10,false,false,false,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/calculate_objective_metrics_three_way.py,.py,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,true,0,7,false,true,false,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/compare_results.py,.py,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,true,0,7,false,true,false,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/compute_metrics.py,.py,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,true,0,10,true,true,false,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/contraindications.py,.py,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,false,0,0,false,false,false,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/drug_aliases.py,.py,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,false,0,0,false,false,false,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/dump_cases.py,.py,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,false,0,2,false,true,false,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/objective_metrics.py,.py,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,false,0,3,false,false,false,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/reevaluate_reports.py,.py,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,true,0,10,true,true,false,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/results/ablation_enricher_results.json,.json,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,false,0,0,false,true,true,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/results/ablation_graphrag_results.json,.json,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,false,0,0,false,true,true,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/results/ablation_rag_results.json,.json,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,false,0,0,false,true,true,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/results/ablation_second_llm_graphrag_results.json,.json,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,false,0,0,false,true,true,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/results/ablation_second_llm_summary.csv,.csv,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,false,0,0,false,true,true,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/results/ablation_second_llm_vanilla_results.json,.json,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,false,0,0,false,true,true,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/results/ablation_summary.csv,.csv,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,false,0,0,false,true,true,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/results/ablation_vanilla_results.json,.json,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,false,0,0,false,true,true,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/results/ablation_websearch_results.json,.json,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,false,0,0,false,true,true,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/results/benchmark_metrics.csv,.csv,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,false,0,0,false,true,true,LEGACY_REFERENCE_ONLY,MEDIUM,
backend/evaluation/results/benchmark_metrics.json,.json,EXPERIMENTS_AND_BENCHMARKS,EXPERIMENT_ONLY,false,0,0,false,true,true,LEGACY_REFERENCE_ONLY,MEDIUM,
